entry_time,exit_time,instrument,underlier,expiry,strike,option_type,entry_price,exit_price,quantity,gross_pnl,net_pnl,transaction_costs,holding_period_seconds
2022-11-01T13:15:58,2022-11-01T13:16:01,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,61.85,61.6,1,-0.25,-40.25,40.0,3.0
2022-11-01T13:15:58,2022-11-01T13:16:01,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,130.7,130.75,1,0.05,-39.95,40.0,3.0
2022-11-01T13:16:01,2022-11-01T13:16:04,NIFTY22110318100CE,NIFTY,2022-11-03,18100,CE,84.55,84.55,1,0.0,-40.0,40.0,3.0
2022-11-01T13:16:01,2022-11-01T13:16:04,NIFTY22110318100PE,NIFTY,2022-11-03,18100,PE,104.15,104.05,1,-0.1,-40.1,40.0,3.0
2022-11-01T13:16:04,2022-11-01T13:16:06,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,61.2,61.85,1,0.65,-39.35,40.0,2.0
2022-11-01T13:16:04,2022-11-01T13:16:06,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,130.85,130.25,1,-0.6,-40.6,40.0,2.0
2022-11-01T13:16:06,2022-11-01T13:16:07,NIFTY22110318100CE,NIFTY,2022-11-03,18100,CE,84.8,85.0,1,0.2,-39.8,40.0,1.0
2022-11-01T13:16:06,2022-11-01T13:16:07,NIFTY22110318100PE,NIFTY,2022-11-03,18100,PE,103.6,103.15,1,-0.45,-40.45,40.0,1.0
2022-11-01T13:16:07,2022-11-01T13:34:21,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,61.95,78.9,1,16.95,-23.05,40.0,1094.0
2022-11-01T13:16:07,2022-11-01T13:34:21,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,129.85,101.95,1,-27.9,-67.9,40.0,1094.0
2022-11-01T13:34:21,2022-11-01T13:34:27,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.9,56.3,1,-0.6,-40.6,40.0,6.0
2022-11-01T13:34:21,2022-11-01T13:34:27,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,129.95,130.95,1,1.0,-39.0,40.0,6.0
2022-11-01T13:34:27,2022-11-01T13:34:29,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.25,78.6,1,0.35,-39.65,40.0,2.0
2022-11-01T13:34:27,2022-11-01T13:34:29,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.9,102.45,1,-0.45,-40.45,40.0,2.0
2022-11-01T13:34:29,2022-11-01T13:34:34,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.6,56.5,1,-0.1,-40.1,40.0,5.0
2022-11-01T13:34:29,2022-11-01T13:34:34,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.45,130.5,1,0.05,-39.95,40.0,5.0
2022-11-01T13:34:34,2022-11-01T13:34:41,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.5,78.45,1,-0.05,-40.05,40.0,7.0
2022-11-01T13:34:34,2022-11-01T13:34:41,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.8,102.55,1,-0.25,-40.25,40.0,7.0
2022-11-01T13:34:41,2022-11-01T13:34:42,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.65,56.4,1,-0.25,-40.25,40.0,1.0
2022-11-01T13:34:41,2022-11-01T13:34:42,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.5,130.25,1,-0.25,-40.25,40.0,1.0
2022-11-01T13:34:42,2022-11-01T13:34:44,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.25,78.4,1,0.15,-39.85,40.0,2.0
2022-11-01T13:34:42,2022-11-01T13:34:44,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.65,103.25,1,0.6,-39.4,40.0,2.0
2022-11-01T13:34:44,2022-11-01T13:34:45,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.5,56.3,1,-0.2,-40.2,40.0,1.0
2022-11-01T13:34:44,2022-11-01T13:34:45,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.45,131.3,1,-0.15,-40.15,40.0,1.0
2022-11-01T13:34:45,2022-11-01T13:34:56,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.3,78.85,1,0.55,-39.45,40.0,11.0
2022-11-01T13:34:45,2022-11-01T13:34:56,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.35,102.05,1,-1.3,-41.3,40.0,11.0
2022-11-01T13:34:56,2022-11-01T13:35:37,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.8,56.85,1,0.05,-39.95,40.0,41.0
2022-11-01T13:34:56,2022-11-01T13:35:37,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,129.95,130.65,1,0.7,-39.3,40.0,41.0
2022-11-01T13:35:37,2022-11-01T13:35:38,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.75,79.2,1,0.45,-39.55,40.0,1.0
2022-11-01T13:35:37,2022-11-01T13:35:38,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.45,102.05,1,-0.4,-40.4,40.0,1.0
2022-11-01T13:35:38,2022-11-01T13:35:48,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,57.15,56.65,1,-0.5,-40.5,40.0,10.0
